date,su
20121001,240754.56435614
20121002,473407.63643285
20121003,555174.94715278
20121004,575363.98572247
20121005,685159.18900557
20121006,631267.2113587
20121007,436676.64899277
20121008,748910.66384188
20121009,827963.07842706
20121010,850730.2321186
20121011,781016.997026563
20121012,830130.5977107
20121013,692320.1003271
20121014,428245.73259456
20121015,807175.204170247
20121016,853245.78768007
20121017,856529.65098725
20121018,976292.19771162
20121019,892585.986383893
20121020,667379.4567041
20121021,581708.11567729
20121022,831891.405630377
20121023,896966.19893037
20121024,781437.211679827
20121025,590889.49897965
20121026,557202.18257606
20121027,362600.8287023
20121028,251856.86309608
20121029,1086630.44789033
20121030,1249185.71597324
20121031,1481033.26692997
20121101,315779.4514929
20121102,393513.25686724
20121103,500101.71162447
20121104,342024.85935576
20121105,692880.55025095
20121106,783311.08538341
20121107,827023.99284786
20121108,766424.44324302
20121109,677658.6751099
20121110,681622.69530702
20121111,343320.42765006
20121112,673315.26643073
20121113,648814.51694341
20121114,719575.85824421
20121115,765586.02777387
20121116,806352.3727847
20121117,558986.00492203
20121118,463250.22537006
20121119,821433.96551709
20121120,940559.6647788
20121121,1057628.94294146
20121122,1073418.19833878
20121123,945725.86429463
20121124,869903.31796326
20121125,434390.62801127
20121126,1123997.86227343
20121127,1382325.11969081
20121128,1259715.4489019
20121129,1457196.85803243
20121130,1555857.89941957
20121201,172016.96133564
20121202,223001.69607548
20121203,645574.50368089
20121204,891309.06968147
20121205,779060.9578372
20121206,814903.30462356
20121207,725518.34324938
20121208,733482.60641793
20121209,466892.64969602
20121210,737643.10609762
20121211,954794.99373807
20121212,814684.01576779
20121213,897145.21844497
20121214,1035584.49726735
20121215,747145.54312542
20121216,428743.31380252
20121217,844955.83999911
20121218,1011568.49306525
20121219,1013048.53716964
20121220,943061.01167901
20121221,1151941.36676359
20121222,790235.27619932
20121223,533411.80679147
20121224,1006031.77308373
20121225,891074.4990726
20121226,1064799.89662586
20121227,1244849.99863654
20121228,1316524.99803525
20121229,967714.01989289
20121230,752872.05562591
20121231,1250855.07083772
20130101,160040.32256377
20130102,501307.04114362
20130103,599902.643107345
20130104,557393.57244046
20130105,499880.13113482
20130106,334880.86538009
20130107,678937.136094512
20130108,843342.53133833
20130109,915027.21483173
20130110,880021.91797369
20130111,732673.64065553
20130112,733680.83791902
20130113,331792.90777715
20130114,564668.385816004
20130115,819126.71312896
20130116,808610.18707224
20130117,1039893.60777998
20130118,809465.34273982
20130119,851923.81189194
20130120,413132.86045198
20130121,1002372.10907466
20130122,969880.25342596
20130123,1016567.08024914
20130124,894374.160169027
20130125,879794.612981377
20130126,373835.32934736
20130127,498698.96368382
20130128,1163309.01494657
20130129,1444880.6584794
20130130,1175946.31885324
